File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
ota_uart.o,58.697021%,20524,2462,2462,0,0,20524
startup_gd32f450_470.o,23.428473%,8192,464,36,428,0,8192
mcu_cmic_gd32f470vet6.o,9.043071%,3162,2736,2734,0,2,3160
usart_app.o,3.863753%,1351,7606,7402,200,4,1347
sd_app.o,3.168792%,1108,848,778,70,0,1108
btn_app.o,0.560545%,196,282,268,14,0,196
scheduler.o,0.551965%,193,184,184,0,0,193
sdio_sdcard.o,0.174455%,61,6593,6588,0,5,56
ebtn.o,0.171595%,60,1910,1910,0,0,60
perf_counter.o,0.102957%,36,852,848,4,0,36
oled.o,0.065778%,23,3767,1672,2072,23,0
gd32f4xx_pmu.o,0.045759%,16,268,268,0,0,16
led_app.o,0.034319%,12,244,242,0,2,10
gd30ad3344.o,0.017160%,6,734,734,0,0,6
ff.o,0.017160%,6,5449,5308,141,0,6
mc_w.l,0.011440%,4,3457,3320,133,4,0
errno.o,0.011440%,4,12,8,0,4,0
systick.o,0.011440%,4,142,142,0,0,4
system_gd32f4xx.o,0.011440%,4,588,584,0,4,0
oled_app.o,0.005720%,2,208,186,21,1,1
adc_app.o,0.005720%,2,2,2,0,0,2
